t,U
22.44631818,2.113424126
22.47272727,2.899254437
22.49913636,3.749691603
22.52743182,4.535961417
22.54818182,5.327944762
22.57836364,6.150693276
22.60854545,7.139573702
22.63495455,7.988692361
22.66136364,8.737604469
22.68777273,9.444324347
22.71229545,10.19775705
22.73870455,10.86680529
22.77265909,11.4590034
22.81415909,11.67188239
22.84811364,11.19228822
22.87075,10.45271868
22.87640909,9.766040112
22.89527273,9.054046206
22.90281818,8.373696473
22.91413636,7.424371264
22.92922727,6.395935622
22.93677273,5.378048037
22.94431818,4.550025494
22.95563636,3.500493736
22.9694697,2.503702267
22.97701515,1.586021232
22.98581818,0.8265610651
22.98959091,-0.1508922978
23.00656818,-1.019349063
23.01788636,-1.546751956
23.02228788,-2.42224076
23.03109091,-3.11313855
23.04240909,-3.888420804
23.07447727,-4.834869269
23.11597727,-4.869390186
23.15747727,-4.268150887
23.19897727,-3.825132457
23.24047727,-3.523074436
23.28197727,-3.44252563
23.32347727,-3.23540013
23.36497727,-2.982246741
23.40647727,-2.683065463
23.44797727,-2.435665561
23.48947727,-2.314842352
23.53097727,-2.061688963
23.57247727,-1.831549519
23.61397727,-1.831549519
23.65547727,-1.78552163
23.69697727,-1.704972824
23.73847727,-1.658944935
23.77997727,-1.57839613
23.82147727,-1.647437963
23.86297727,-1.704972824
23.90447727,-1.658944935
23.94597727,-1.57839613
23.98747727,-1.509354296
24.01811364,-1.57839613
24.05961364,-1.57839613
24.10111364,-1.486340352
24.14261364,-1.37127063
24.18411364,-1.161268387
24.22561364,-0.9138684839
24.26711364,-0.7240034422
24.30861364,-0.3126291851
24.3522096,0.1233572069
24.38972727,0.5829009282
24.42179545,1.319306054
24.44631818,2.113424126
24.47272727,2.899254437
24.49913636,3.749691603
24.52743182,4.535961417
24.54818182,5.327944762
24.57836364,6.150693276
24.60854545,7.139573702
24.63495455,7.988692361
24.66136364,8.737604469
24.68777273,9.444324347
24.71229545,10.19775705
24.73870455,10.86680529
24.77265909,11.4590034
24.81415909,11.67188239
24.84811364,11.19228822
24.87075,10.45271868
24.87640909,9.766040112
24.89527273,9.054046206
24.90281818,8.373696473
24.91413636,7.424371264
24.92922727,6.395935622
24.93677273,5.378048037
24.94431818,4.550025494
24.95563636,3.500493736
24.9694697,2.503702267
24.97701515,1.586021232
24.98581818,0.8265610651
24.98959091,-0.1508922978
25.00656818,-1.019349063
25.01788636,-1.546751956
25.02228788,-2.42224076
25.03109091,-3.11313855
25.04240909,-3.888420804
25.07447727,-4.834869269
25.11597727,-4.869390186
25.15747727,-4.268150887
25.19897727,-3.825132457
25.24047727,-3.523074436
25.28197727,-3.44252563
25.32347727,-3.23540013
25.36497727,-2.982246741
25.40647727,-2.683065463
25.44797727,-2.435665561
25.48947727,-2.314842352
25.53097727,-2.061688963
25.57247727,-1.831549519
25.61397727,-1.831549519
25.65547727,-1.78552163
25.69697727,-1.704972824
25.73847727,-1.658944935
25.77997727,-1.57839613
25.82147727,-1.647437963
25.86297727,-1.704972824
25.90447727,-1.658944935
25.94597727,-1.57839613
25.98747727,-1.509354296
26.01811364,-1.57839613
26.05961364,-1.57839613
26.10111364,-1.486340352
26.14261364,-1.37127063
26.18411364,-1.161268387
26.22561364,-0.9138684839
26.26711364,-0.7240034422
26.30861364,-0.3126291851
26.3522096,0.1233572069
26.38972727,0.5829009282
26.42179545,1.319306054
26.44631818,2.113424126
26.47272727,2.899254437
26.49913636,3.749691603
26.52743182,4.535961417
26.54818182,5.327944762
26.57836364,6.150693276
26.60854545,7.139573702
26.63495455,7.988692361
26.66136364,8.737604469
26.68777273,9.444324347
26.71229545,10.19775705
26.73870455,10.86680529
26.77265909,11.4590034
26.81415909,11.67188239
26.84811364,11.19228822
26.87075,10.45271868
26.87640909,9.766040112
26.89527273,9.054046206
26.90281818,8.373696473
26.91413636,7.424371264
26.92922727,6.395935622
26.93677273,5.378048037
26.94431818,4.550025494
26.95563636,3.500493736
26.9694697,2.503702267
26.97701515,1.586021232
26.98581818,0.8265610651
26.98959091,-0.1508922978
27.00656818,-1.019349063
27.01788636,-1.546751956
27.02228788,-2.42224076
27.03109091,-3.11313855
27.04240909,-3.888420804
27.07447727,-4.834869269
27.11597727,-4.869390186
27.15747727,-4.268150887
27.19897727,-3.825132457
27.24047727,-3.523074436
27.28197727,-3.44252563
27.32347727,-3.23540013
27.36497727,-2.982246741
27.40647727,-2.683065463
27.44797727,-2.435665561
27.48947727,-2.314842352
27.53097727,-2.061688963
27.57247727,-1.831549519
27.61397727,-1.831549519
27.65547727,-1.78552163
27.69697727,-1.704972824
27.73847727,-1.658944935
27.77997727,-1.57839613
27.82147727,-1.647437963
27.86297727,-1.704972824
27.90447727,-1.658944935
27.94597727,-1.57839613
27.98747727,-1.509354296
28.01811364,-1.57839613
28.05961364,-1.57839613
28.10111364,-1.486340352
28.14261364,-1.37127063
28.18411364,-1.161268387
28.22561364,-0.9138684839
28.26711364,-0.7240034422
28.30861364,-0.3126291851
28.3522096,0.1233572069
28.38972727,0.5829009282
28.42179545,1.319306054
28.44631818,2.113424126
28.47272727,2.899254437
28.49913636,3.749691603
28.52743182,4.535961417
28.54818182,5.327944762
28.57836364,6.150693276
28.60854545,7.139573702
28.63495455,7.988692361
